SARPP Regional price parities by state
SARPP Regional price parities by state
State or DC
GeoFIPS,GeoName,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
40000,Oklahoma,89.536,88.457,90.562,90.935,91.232,91.527,91.825,91.369,91.514,90.881,89.646,89.332,89.630,89.883,88.807,88.680,87.843
41000,Oregon,97.802,100.273,99.430,99.789,101.125,100.175,99.745,101.119,99.593,101.474,104.657,103.811,103.243,103.150,106.612,104.812,103.361
42000,Pennsylvania,99.153,99.488,98.940,98.437,98.003,97.836,97.207,98.147,97.767,99.102,98.151,97.979,97.717,96.145,96.256,97.400,97.572
44000,Rhode Island,103.603,103.935,101.802,101.111,99.842,101.446,100.260,102.014,101.590,102.403,102.033,102.390,101.771,102.190,104.453,102.065,102.280
45000,South Carolina,91.953,90.998,92.664,93.183,93.392,93.299,93.231,93.320,93.636,92.840,92.244,91.490,90.873,93.610,93.342,93.477,93.749
46000,South Dakota,85.018,86.061,88.807,87.272,90.336,90.181,89.357,87.799,87.282,87.223,91.206,91.818,91.320,90.105,87.851,88.149,88.586
47000,Tennessee,91.697,90.495,92.356,92.890,93.405,92.994,92.785,92.812,93.810,93.040,89.649,91.262,90.502,90.580,91.800,92.094,91.870
48000,Texas,97.068,96.717,97.665,96.986,97.714,98.134,98.437,98.291,98.078,97.435,97.805,98.507,98.759,98.402,97.411,97.140,97.057
49000,Utah,96.978,100.037,97.291,99.813,99.412,98.587,97.937,97.636,97.091,98.721,96.018,97.246,95.259,94.481,94.590,95.716,98.864
50000,Vermont,100.686,101.415,99.379,99.109,99.981,100.424,97.937,100.029,98.224,100.337,100.204,99.604,102.132,98.694,101.033,97.142,97.958
51000,Virginia,103.204,102.426,103.724,103.425,102.494,103.523,103.454,103.570,102.777,101.222,101.957,100.053,101.003,102.300,102.026,101.331,101.104
53000,Washington,104.488,104.631,102.741,103.244,102.541,102.482,103.920,104.400,105.560,107.035,107.124,107.971,107.859,108.804,110.035,108.370,107.013
54000,West Virginia,87.636,86.654,88.909,89.295,89.312,90.246,89.864,90.557,89.805,88.966,89.411,88.518,87.334,90.981,89.157,89.633,89.497
55000,Wisconsin,93.159,94.116,94.723,93.742,94.312,93.890,93.799,93.287,93.173,93.531,94.028,94.476,92.666,93.309,92.401,93.220,94.095
56000,Wyoming,95.291,96.618,95.473,97.618,96.265,97.347,97.404,96.941,97.747,97.146,92.372,94.107,91.836,91.440,91.767,91.551,92.691

Legend/Footnotes
"  Last updated: February 19, 2026-- new statistics for 2024; revised statistics for 2008-2023."
