SARPI Real personal income and real personal consumption expenditures (PCE) by state
SARPI Real personal income and real personal consumption expenditures (PCE) by state
State or DC
GeoFIPS,GeoName,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
50000,Vermont,28369.4,27997.8,28931.7,29992.9,29973.3,29840.1,31290.2,31491.0,32256.4,31927.8,32453.0,33853.7,35075.9,36850.9,35282.6,37664.9,38191.8
51000,Virginia,386625.0,384181.3,388969.8,402342.2,415525.0,402485.9,413276.7,430487.4,441172.2,457862.8,462063.3,485404.8,503452.8,523198.8,510556.9,528937.9,545536.5
53000,Washington,310844.9,299057.5,307360.9,316118.2,335600.6,337589.6,352461.3,371126.8,383736.1,396143.2,413964.8,434365.5,464423.2,483952.5,464534.6,488240.8,512676.2
54000,West Virginia,74230.0,75999.9,75322.3,77410.4,77668.9,75469.9,77045.2,77801.8,77284.0,79765.1,81528.2,83894.7,88241.8,88254.2,86074.4,86879.2,88588.5
55000,Wisconsin,264087.5,258677.6,259593.2,270083.7,274612.6,273633.8,280457.6,293691.9,296399.8,302189.3,309112.6,315491.3,338381.1,351814.3,340694.5,342726.0,347364.8
56000,Wyoming,31804.9,29033.8,30343.4,31724.7,33939.0,32961.4,34589.4,34785.4,32431.4,33520.4,36169.8,36600.0,39227.8,41652.6,42531.6,44069.3,44365.8

Legend/Footnotes
1. Real personal income for states is personal income divided by the RPPs and the national PCE price index. The result is a constant dollar (using 2017 as the base year) estimate of real personal income. Calculations are performed on unrounded data.
"  Last updated: February 19, 2026-- new statistics for 2024; revised statistics for 2008-2023."
